Packet_count,Satellite_Status,Error_Code,Mission_Time,Pressure1,Pressure2,Altitude1,Altitude2,Altitude_Difference,Descent_rate,Temperature,Battery_Voltage,Gps_Latitude,Gps_Longitude,Gps_Altitude,Pitch,Roll,Yaw,LNLN,Iot_Data,Team_Number
14, 0, 11011, 1/1/2000; 2:0:11, 90930.23, 90958.05, 0.72, 0.02, 0.7, -0.8, 25.55, 3.88, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 0.0, 335592
15, 0, 11011, 1/1/2000; 2:0:12, 90928.22, 90957.23, 0.9, 0.1, 0.8, 0.17, 25.57, 3.92, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 0.0, 335592
16, 0, 11011, 1/1/2000; 2:0:14, 90929.23, 90954.59, 0.81, 0.34, 0.47, -0.06, 25.58, 3.92, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.42, 335592
17, 0, 11011, 1/1/2000; 2:0:16, 90931.47, 90956.65, 0.6, 0.15, 0.45, -0.1, 25.59, 3.88, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.44, 335592
18, 0, 11011, 1/1/2000; 2:0:17, 90931.23, 90957.48, 0.63, 0.07, 0.56, 0.03, 25.55, 3.86, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.45, 335592
19, 0, 11011, 1/1/2000; 2:0:18, 90925.45, 90954.53, 1.16, 0.35, 0.81, 0.53, 25.55, 3.92, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.44, 335592
20, 0, 11011, 1/1/2000; 2:0:19, 90928.08, 90957.04, 0.92, 0.11, 0.81, -0.24, 25.55, 3.92, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.48, 335592
21, 0, 11011, 1/1/2000; 2:0:20, 90929.94, 90957.38, 0.75, 0.08, 0.67, -0.17, 25.57, 3.91, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.47, 335592
22, 0, 11011, 1/1/2000; 2:0:21, 90928.84, 90955.17, 0.85, 0.29, 0.56, 0.1, 25.57, 3.86, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.48, 335592
23, 0, 11011, 1/1/2000; 2:0:22, 90934.1, 90955.07, 0.36, 0.3, 0.06, -0.49, 25.59, 3.91, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.51, 335592
24, 0, 11011, 1/1/2000; 2:0:23, 90933.09, 90958.98, 0.45, -0.07, 0.52, 0.09, 25.58, 3.92, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.54, 335592
25, 0, 11011, 1/1/2000; 2:0:24, 90930.14, 90956.38, 0.73, 0.17, 0.56, 0.28, 25.54, 3.83, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.55, 335592
26, 0, 11011, 1/1/2000; 2:0:25, 90928.51, 90957.63, 0.88, 0.06, 0.82, 0.15, 25.48, 3.84, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.55, 335592
27, 0, 11011, 1/1/2000; 2:0:26, 90925.79, 90959.2, 1.13, -0.09, 1.22, 0.25, 25.48, 3.84, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.55, 335592
28, 0, 11011, 1/1/2000; 2:0:27, 90929.52, 90960.31, 0.78, -0.19, 0.97, -0.35, 25.49, 3.86, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.62, 335592
29, 0, 11011, 1/1/2000; 2:0:28, 90938.21, 90957.86, -0.02, 0.04, 0.06, -0.8, 25.5, 3.92, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.63, 335592
30, 0, 11011, 1/1/2000; 2:0:29, 90929.75, 90958.59, 0.76, -0.03, 0.79, 0.78, 25.5, 3.91, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.66, 335592
31, 0, 11011, 1/1/2000; 2:0:30, 90931.76, 90956.73, 0.58, 0.14, 0.44, -0.18, 25.52, 3.88, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.7, 335592
32, 0, 11011, 1/1/2000; 2:0:31, 90934.24, 90957.8, 0.35, 0.04, 0.31, -0.23, 25.53, 3.94, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.7, 335592
33, 0, 11011, 1/1/2000; 2:0:32, 90929.37, 90955.97, 0.8, 0.21, 0.59, 0.45, 25.54, 3.96, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.71, 335592
34, 0, 11011, 1/1/2000; 2:0:33, 90927.84, 90958.02, 0.94, 0.02, 0.92, 0.14, 25.55, 3.89, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.74, 335592
35, 0, 11011, 1/1/2000; 2:0:34, 90930.08, 90953.96, 0.73, 0.4, 0.33, -0.21, 25.55, 3.94, 0.0000000, 0.0000000, 0.00, 10.5, -0.88, 359.94, 0N0N, 26.74, 335592
36, 0, 11011, 1/1/2000; 2:0:35, 90930.7, 90955.9, 0.67, 0.22, 0.45, -0.06, 25.56, 3.99, 0.0000000, 0.0000000, 0.00, 2.5, -0.88, 359.94, 0N0N, 26.77, 335592
